Consumo Total no período (Wh): 372.7250000000
plaqueta;numero de série;lat;long;consumo acumulado (Wh);data inicial;data final
14622;2015451052220;-23,600;-46,914;5,883;14/12/2022;21/12/2022
14624;2015451052748;-23,600;-46,914;5,166;14/12/2022;21/12/2022
14628;2015451052898;-23,600;-46,913;9,575;14/12/2022;21/12/2022
14632;2015451052801;-23,600;-46,913;9,456;14/12/2022;21/12/2022
14647;2036456067361;-23,599;-46,912;10,460;14/12/2022;21/12/2022
14653;2015451052441;-23,601;-46,914;10,563;14/12/2022;21/12/2022
14655;2015451052231;-23,601;-46,914;10,317;14/12/2022;21/12/2022
14660;2036456067344;-23,600;-46,915;0,000;14/12/2022;21/12/2022
14672;2015451052717;-23,599;-46,912;9,439;14/12/2022;21/12/2022
14745;2015451052258;-23,600;-46,913;10,387;14/12/2022;21/12/2022
14767;2015451052298;-23,598;-46,912;0,000;14/12/2022;21/12/2022
14768;2015451052377;-23,598;-46,912;0,000;14/12/2022;21/12/2022
14769;2015451052719;-23,599;-46,912;0,000;14/12/2022;21/12/2022
14770;2015451052303;-23,599;-46,912;9,493;14/12/2022;21/12/2022
14771;2015451052712;-23,598;-46,913;8,334;14/12/2022;21/12/2022
14772;2015451052573;-23,598;-46,912;9,589;14/12/2022;21/12/2022
14816;2036456067374;-23,599;-46,915;7,127;14/12/2022;21/12/2022
14819;2015451045981;-23,599;-46,915;4,161;14/12/2022;21/12/2022
14826;2015451052247;-23,599;-46,913;8,723;14/12/2022;21/12/2022
14827;2015451052788;-23,599;-46,913;0,000;14/12/2022;21/12/2022
14828;2015451052529;-23,599;-46,913;9,494;14/12/2022;21/12/2022
14829;2015451050184;-23,599;-46,913;9,571;14/12/2022;21/12/2022
14834;2015451052257;-23,600;-46,914;9,584;14/12/2022;21/12/2022
14835;2015451052265;-23,600;-46,914;8,132;14/12/2022;21/12/2022
14836;2015451052862;-23,599;-46,914;0,000;14/12/2022;21/12/2022
14837;2015451052292;-23,599;-46,914;4,387;14/12/2022;21/12/2022
14838;2015451052999;-23,599;-46,913;8,182;14/12/2022;21/12/2022
14839;2015451052726;-23,599;-46,913;9,542;14/12/2022;21/12/2022
14859;2015451052641;-23,601;-46,914;0,000;14/12/2022;21/12/2022
14976;2015451045889;-23,595;-46,913;6,328;14/12/2022;21/12/2022
14983;2036456067237;-23,596;-46,913;0,000;14/12/2022;21/12/2022
15062;2036456068281;-23,596;-46,914;0,000;14/12/2022;21/12/2022
15205;2015451052871;-23,597;-46,916;0,000;14/12/2022;21/12/2022
14690;2036456068218;-23,599;-46,916;0,000;14/12/2022;21/12/2022
14691;2036456066744;-23,599;-46,917;0,000;14/12/2022;21/12/2022
14692;2036456068169;-23,599;-46,917;0,000;14/12/2022;21/12/2022
14693;2036456066852;-23,599;-46,917;0,000;14/12/2022;21/12/2022
14808;2036456066694;-23,598;-46,918;0,000;14/12/2022;21/12/2022
14809;2036456066889;-23,599;-46,918;0,000;14/12/2022;21/12/2022
14810;2036456068031;-23,599;-46,917;0,000;14/12/2022;21/12/2022
14811;2036456066690;-23,599;-46,917;0,000;14/12/2022;21/12/2022
14812;2036456068090;-23,599;-46,917;0,000;14/12/2022;21/12/2022
14813;2036456066814;-23,599;-46,916;0,000;14/12/2022;21/12/2022
14877;2015451053605;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14878;2036456066795;-23,597;-46,916;0,000;14/12/2022;21/12/2022
14879;2036456066695;-23,597;-46,916;0,000;14/12/2022;21/12/2022
14880;2036456067337;-23,597;-46,916;0,000;14/12/2022;21/12/2022
14881;2036456066829;-23,596;-46,916;0,000;14/12/2022;21/12/2022
14882;2036456066696;-23,596;-46,917;0,000;14/12/2022;21/12/2022
14883;2036456066693;-23,596;-46,917;0,000;14/12/2022;21/12/2022
14884;2036456066851;-23,596;-46,917;0,000;14/12/2022;21/12/2022
14885;2015451053428;-23,596;-46,917;0,000;14/12/2022;21/12/2022
14886;2036456066848;-23,595;-46,917;0,000;14/12/2022;21/12/2022
14887;2015451053609;-23,595;-46,918;0,000;14/12/2022;21/12/2022
14888;2015451053496;-23,595;-46,918;0,000;14/12/2022;21/12/2022
14889;2015451053367;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14890;2015451053544;-23,595;-46,918;6,889;14/12/2022;21/12/2022
14893;2015451053436;-23,595;-46,918;0,000;14/12/2022;21/12/2022
14894;2015451053612;-23,594;-46,918;0,000;14/12/2022;21/12/2022
14895;2015451052264;-23,594;-46,919;0,000;14/12/2022;21/12/2022
14896;2015451053627;-23,595;-46,919;0,000;14/12/2022;21/12/2022
14897;2036456067239;-23,595;-46,919;0,000;14/12/2022;21/12/2022
14898;2015451053492;-23,595;-46,918;0,000;14/12/2022;21/12/2022
14899;2015451053478;-23,595;-46,918;0,000;14/12/2022;21/12/2022
14900;2036456067231;-23,595;-46,919;0,000;14/12/2022;21/12/2022
14901;2015451053409;-23,595;-46,918;0,000;14/12/2022;21/12/2022
14902;2036456066882;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14903;2015451053644;-23,596;-46,918;0,000;14/12/2022;21/12/2022
14904;2015451053643;-23,595;-46,919;0,000;14/12/2022;21/12/2022
14905;2015451053477;-23,595;-46,919;0,000;14/12/2022;21/12/2022
14906;2015451053445;-23,595;-46,920;0,000;14/12/2022;21/12/2022
14907;2015451053575;-23,595;-46,920;0,000;14/12/2022;21/12/2022
14908;2015451053595;-23,596;-46,920;0,000;14/12/2022;21/12/2022
14909;2015451053480;-23,596;-46,920;0,000;14/12/2022;21/12/2022
14910;2015451053470;-23,596;-46,920;0,000;14/12/2022;21/12/2022
14911;2015451053523;-23,596;-46,920;0,000;14/12/2022;21/12/2022
14912;2015451052848;-23,597;-46,920;0,000;14/12/2022;21/12/2022
14914;2015451053472;-23,596;-46,917;0,000;14/12/2022;21/12/2022
14916;2015451053316;-23,595;-46,920;0,000;14/12/2022;21/12/2022
14917;2036456068244;-23,596;-46,919;0,000;14/12/2022;21/12/2022
14918;2036456066805;-23,596;-46,919;0,000;14/12/2022;21/12/2022
14919;2036456068265;-23,595;-46,919;0,000;14/12/2022;21/12/2022
14920;2015451053483;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14921;2015451053449;-23,594;-46,919;0,000;14/12/2022;21/12/2022
14922;2015451052904;-23,594;-46,919;0,000;14/12/2022;21/12/2022
14923;2015451052860;-23,594;-46,918;0,000;14/12/2022;21/12/2022
14924;2015451053621;-23,593;-46,918;0,000;14/12/2022;21/12/2022
14925;2015451053543;-23,594;-46,918;0,000;14/12/2022;21/12/2022
14928;2015451053633;-23,593;-46,918;0,000;14/12/2022;21/12/2022
14929;2036456066868;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14930;2036456066692;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14931;2015451053376;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14932;2015451052804;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14933;2015451053416;-23,598;-46,917;0,000;14/12/2022;21/12/2022
14934;2036456066904;-23,598;-46,917;0,000;14/12/2022;21/12/2022
14935;2015451052880;-23,593;-46,918;0,000;14/12/2022;21/12/2022
14936;2015451052928;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14937;2015451052900;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14938;2036456067288;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14939;2015451052977;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14940;2036456066716;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14941;2015451052930;-23,593;-46,915;0,000;14/12/2022;21/12/2022
14942;2015451053463;-23,593;-46,915;0,000;14/12/2022;21/12/2022
14946;2015451053593;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14959;2015451053624;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14965;2015451053458;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14966;2015451052936;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14967;2015451053444;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14968;2015451053461;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14969;2015451053446;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14970;2015451053469;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14971;2015451053452;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14972;2015451052843;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14973;2015451052861;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14974;2015451053650;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14995;2015451052839;-23,594;-46,915;0,000;14/12/2022;21/12/2022
14997;2015451053484;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14998;2015451053567;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14999;2036456068188;-23,594;-46,916;0,000;14/12/2022;21/12/2022
15000;2036456068129;-23,594;-46,916;0,000;14/12/2022;21/12/2022
15001;2015451052866;-23,593;-46,916;0,000;14/12/2022;21/12/2022
15002;2015451053631;-23,593;-46,916;0,000;14/12/2022;21/12/2022
15003;2015451053655;-23,593;-46,917;0,000;14/12/2022;21/12/2022
15004;2015451053467;-23,593;-46,917;0,000;14/12/2022;21/12/2022
15005;2036456068043;-23,593;-46,917;0,000;14/12/2022;21/12/2022
15006;2036456068226;-23,594;-46,918;0,288;14/12/2022;21/12/2022
