Consumo Total no período (Wh): 0.0000000000
plaqueta;numero de série;lat;long;consumo acumulado (Wh);data inicial;data final
IP0092242;2049451078539;-23,591;-46,717;0;15/11/2022;15/11/2022
IP0092233;2049451079483;-23,590;-46,717;0;15/11/2022;15/11/2022
IP0086038;2126491233703;-23,592;-46,724;0;15/11/2022;15/11/2022
IP0102358;2119496169314;-23,599;-46,726;0;15/11/2022;15/11/2022
IP0457995;2121491200478;-23,508;-46,386;0;15/11/2022;15/11/2022
IP0458983;2125491218672;-23,504;-46,372;0;15/11/2022;15/11/2022
IP0463868;2125491220030;-23,501;-46,377;0;15/11/2022;15/11/2022
IP0459887;2126491222159;-23,508;-46,369;0;15/11/2022;15/11/2022
IP0460144;2126491221937;-23,504;-46,385;0;15/11/2022;15/11/2022
IP0467042;2126491222789;-23,511;-46,375;0;15/11/2022;15/11/2022
IP0440678;2126491223724;-23,520;-46,412;0;15/11/2022;15/11/2022
IP0453227;2126491226339;-23,511;-46,416;0;15/11/2022;15/11/2022
IP0557834;2126491225366;-23,522;-46,413;0;15/11/2022;15/11/2022
IP0453619;2126491226947;-23,520;-46,416;0;15/11/2022;15/11/2022
IP0467222;2126491228428;-23,516;-46,393;0;15/11/2022;15/11/2022
IP0463970;2119496186765;-23,501;-46,373;0;15/11/2022;15/11/2022
IP0463969;2119496190483;-23,501;-46,373;0;15/11/2022;15/11/2022
IP0440775;2140496294594;-23,510;-46,421;0;15/11/2022;15/11/2022
IP0440668;2140496293305;-23,520;-46,411;0;15/11/2022;15/11/2022
IP0659704;2140496293253;-23,501;-46,372;0;15/11/2022;15/11/2022
IP0441974;2140496292692;-23,517;-46,423;0;15/11/2022;15/11/2022
IP0462549;2140496299069;-23,515;-46,389;0;15/11/2022;15/11/2022
IP0441970;2140496299015;-23,517;-46,424;0;15/11/2022;15/11/2022
IP0463821;2140496299124;-23,502;-46,377;0;15/11/2022;15/11/2022
IP0454465;2140496299551;-23,516;-46,396;0;15/11/2022;15/11/2022
IP0464276;2140496294512;-23,500;-46,373;0;15/11/2022;15/11/2022
IP0461537;2140491273538;-23,503;-46,390;0;15/11/2022;15/11/2022
IP0460604 B;2135496254420;-23,502;-46,393;0;15/11/2022;15/11/2022
IP0460200;2140496291897;-23,503;-46,385;0;15/11/2022;15/11/2022
IP0460601;2139491264660;-23,502;-46,393;0;15/11/2022;15/11/2022
IP0460607;2139491269195;-23,502;-46,392;0;15/11/2022;15/11/2022
IP0461546;2140491272496;-23,501;-46,391;0;15/11/2022;15/11/2022
