Consumo Total no período (Wh): 0.0000000000
plaqueta;numero de série;lat;long;consumo acumulado (Wh);data inicial;data final
08098;2036456066798;-23,580;-46,922;0;14/12/2022;21/12/2022
08099;2036456068092;-23,580;-46,922;0;14/12/2022;21/12/2022
08100;2036456067375;-23,580;-46,922;0;14/12/2022;21/12/2022
08101;2036456068098;-23,580;-46,922;0;14/12/2022;21/12/2022
08102;2036456068249;-23,580;-46,923;0;14/12/2022;21/12/2022
08103;2036456068036;-23,579;-46,923;0;14/12/2022;21/12/2022
08104;2036456068317;-23,579;-46,923;0;14/12/2022;21/12/2022
08105;2036456068259;-23,579;-46,923;0;14/12/2022;21/12/2022
08106;2036456068234;-23,578;-46,923;0;14/12/2022;21/12/2022
08107;2036456068267;-23,578;-46,923;0;14/12/2022;21/12/2022
08108;2036456066803;-23,578;-46,923;0;14/12/2022;21/12/2022
08109;2036456067262;-23,577;-46,923;0;14/12/2022;21/12/2022
08110;2036456068161;-23,577;-46,923;0;14/12/2022;21/12/2022
08111;2036456066884;-23,576;-46,923;0;14/12/2022;21/12/2022
08112;2036456067226;-23,576;-46,923;0;14/12/2022;21/12/2022
08113;2036456066862;-23,576;-46,923;0;14/12/2022;21/12/2022
08114;2036456066686;-23,576;-46,923;0;14/12/2022;21/12/2022
08115;2036456066894;-23,575;-46,923;0;14/12/2022;21/12/2022
08116;2036456066698;-23,575;-46,923;0;14/12/2022;21/12/2022
08117;2036456067254;-23,575;-46,923;0;14/12/2022;21/12/2022
08118;2036456068248;-23,574;-46,924;0;14/12/2022;21/12/2022
08119;2036456068158;-23,574;-46,924;0;14/12/2022;21/12/2022
08134;2036456068256;-23,574;-46,924;0;14/12/2022;21/12/2022
08135;2036456066775;-23,574;-46,924;0;14/12/2022;21/12/2022
08137;2015451053394;-23,573;-46,925;0;14/12/2022;21/12/2022
08138;2015451053626;-23,573;-46,925;0;14/12/2022;21/12/2022
08139;2015451053359;-23,573;-46,925;0;14/12/2022;21/12/2022
08140;2015451053475;-23,573;-46,925;0;14/12/2022;21/12/2022
08141;2015451053415;-23,572;-46,925;0;14/12/2022;21/12/2022
08142;2015451053412;-23,572;-46,925;0;14/12/2022;21/12/2022
08143;2015451053379;-23,571;-46,925;0;14/12/2022;21/12/2022
15245;2036456067323;-23,588;-46,921;0;14/12/2022;21/12/2022
15246;2036456067294;-23,588;-46,921;0;14/12/2022;21/12/2022
15247;2036456067330;-23,588;-46,921;0;14/12/2022;21/12/2022
15248;2036456067296;-23,587;-46,921;0;14/12/2022;21/12/2022
15249;2036456068312;-23,587;-46,921;0;14/12/2022;21/12/2022
15250;2036456067368;-23,587;-46,921;0;14/12/2022;21/12/2022
15251;2036456067222;-23,586;-46,921;0;14/12/2022;21/12/2022
15252;2036456068270;-23,586;-46,921;0;14/12/2022;21/12/2022
15254;2036456066842;-23,585;-46,921;0;14/12/2022;21/12/2022
15255;2036456066684;-23,585;-46,921;0;14/12/2022;21/12/2022
15256;2036456066837;-23,585;-46,921;0;14/12/2022;21/12/2022
15257;2036456066715;-23,585;-46,920;0;14/12/2022;21/12/2022
